title,url,sqm,rooms,state,elevator,price
"Piso en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85477029/,0.0,59.0,new,True,421000.0
"Piso en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85476896/,0.0,94.0,new,True,631000.0
"Piso en venta en pasaje Saladrigas, 4",https://www.idealista.com/inmueble/85476668/,0.0,99.0,new,True,727000.0
Piso en venta en calle d'Àvila,https://www.idealista.com/inmueble/91322272/,135.0,4.0,second_hand,True,625000.0
Piso en venta en avenida Diagonal,https://www.idealista.com/inmueble/90857271/,109.0,3.0,second_hand,True,349000.0
"Piso en venta en calle Llacuna, 6",https://www.idealista.com/inmueble/89203526/,0.0,100.0,new,True,510000.0
"Piso en venta en calle Llacuna, 6",https://www.idealista.com/inmueble/89203525/,0.0,60.0,new,True,315000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056875/,0.0,60.0,new,True,298000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056874/,0.0,73.0,new,True,443000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056873/,0.0,82.0,new,True,499000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056872/,0.0,76.0,new,True,490000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056871/,0.0,73.0,new,True,402000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056870/,0.0,82.0,new,True,464000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056869/,0.0,76.0,new,True,457000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056868/,0.0,73.0,new,True,397000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056867/,0.0,82.0,new,True,459000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056866/,0.0,76.0,new,True,452000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056865/,0.0,73.0,new,True,392000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056864/,0.0,82.0,new,True,427000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056840/,0.0,76.0,new,True,441000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056863/,0.0,79.0,new,True,434000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056862/,0.0,73.0,new,True,378000.0
